-2,2,0,3;1;2018-12-15
-1,4,-1,1;1;2018-12-15
1,0,1,3;1;2018-12-13
-2,1,0,1;3;2019-01-16,2019-01-01,2018-12-13
-2,1,1,1;1;2018-12-13
-1,1,-1,1;1;2018-12-13
2,0,0,1;3;2018-12-18,2018-12-15,2018-12-12
2,1,-1,1;5;2019-01-19,2019-01-15,2019-01-12,2019-01-01,2018-12-12
2,1,0,4;2;2019-01-11,2018-12-12
2,1,-1,3;2;2019-01-19,2018-12-11
-2,1,1,3;1;2018-12-11
-2,1,2,1;2;2018-12-24,2018-12-11
-1,1,1,1;1;2018-12-10
2,0,-1,2;2;2018-12-23,2018-12-09
0,2,-2,2;2;2018-12-09
-1,3,-1,1;2;2019-01-03,2018-12-09
-2,4,0,1;2;2018-12-09
-2,5,1,0;1;2018-12-08
-1,1,1,3;2;2018-12-22,2018-12-07
1,0,0,2;4;2018-12-23,2018-12-20,2018-12-07
-1,1,1,2;2;2018-12-30,2018-12-06
1,0,-2,2;3;2019-01-11,2018-12-14,2018-12-06
1,0,-2,3;2;2019-01-10,2018-12-06
-2,2,0,1;4;2019-01-10,2019-01-07,2018-12-25,2018-12-05
-2,2,1,1;1;2018-12-05
-1,2,-1,1;2;2018-12-11,2018-12-05
-1,2,0,1;6;2019-01-17,2019-01-15,2019-01-12,2018-12-29,2018-12-09,2018-12-05
2,0,-1,1;2;2019-01-14,2018-12-05
1,4,-1,1;2;2019-01-11,2018-12-05
1,1,-2,4;1;2018-12-05
1,2,-2,2;3;2019-01-18,2018-12-07,2018-12-05
-1,4,0,1;5;2019-01-14,2019-01-07,2018-12-30,2018-12-27,2018-12-05
0,1,2,3;2;2018-12-27,2018-12-03
2,4,0,1;1;2018-12-03
2,1,-1,2;2;2019-01-06,2018-12-02
-1,4,2,1;2;2018-12-04,2018-12-02
1,2,1,2;2;2018-12-03,2018-12-01
-1,1,0,3;1;2018-12-01
-1,1,1,0;5;2019-01-12,2019-01-10,2019-01-07,2018-12-30,2018-12-01
-1,1,2,3;1;2018-12-01
1,1,1,2;2;2019-01-06,2018-11-30
1,3,-2,1;1;2018-11-26
1,0,1,2;5;2019-01-09,2018-12-23,2018-12-18,2018-12-11,2018-11-26
1,0,-1,3;4;2019-01-11,2018-12-10,2018-12-06,2018-11-26
1,0,-2,4;2;2018-12-23,2018-11-26
1,0,-1,4;4;2019-01-09,2018-12-07,2018-11-27,2018-11-25
1,0,1,0;3;2018-12-20,2018-11-30,2018-11-25
2,0,0,3;2;2019-01-19,2018-11-25
-2,1,2,2;1;2018-11-25
2,1,0,3;2;2018-12-20,2018-11-25
-1,3,2,1;4;2019-01-07,2018-12-29,2018-12-14,2018-11-24
0,4,1,0;3;2019-01-03,2018-12-02,2018-11-24
-2,1,2,3;1;2018-11-24
-1,2,1,2;4;2019-01-15,2018-12-14,2018-12-02,2018-11-24
0,1,1,3;7;2019-01-13,2019-01-07,2018-12-27,2018-12-11,2018-12-01,2018-11-28,2018-11-23
1,2,-1,1;9;2019-01-12,2019-01-07,2019-01-04,2018-12-30,2018-12-09,2018-12-05,2018-12-04,2018-11-23
0,3,-1,2;4;2018-12-30,2018-12-08,2018-12-05,2018-11-23
1,4,-2,1;1;2018-11-23
0,1,-2,4;3;2018-12-09,2018-11-23
0,1,-1,3;6;2019-01-18,2018-12-04,2018-12-03,2018-12-02,2018-12-01,2018-11-23
-1,2,-1,3;2;2018-12-09,2018-11-23
-1,2,0,2;5;2019-01-17,2019-01-11,2018-12-04,2018-12-03,2018-11-23
-1,2,1,1;10;2018-12-19,2018-12-17,2018-12-06,2018-12-04,2018-12-03,2018-11-25,2018-11-23
-2,3,0,2;1;2018-11-23
-2,3,1,1;4;2019-01-17,2019-01-07,2018-12-25,2018-11-23
-2,3,2,0;2;2018-11-23
0,1,1,4;2;2019-01-01,2018-11-22
-1,2,2,3;1;2018-11-22
1,0,0,1;5;2019-01-18,2018-12-31,2018-12-23,2018-11-26,2018-11-22
0,3,0,1;5;2019-01-15,2018-12-30,2018-12-05,2018-12-03,2018-11-22
0,1,0,1;11;2019-01-18,2019-01-17,2019-01-13,2018-12-27,2018-12-18,2018-12-09,2018-11-22
0,3,1,2;3;2019-01-02,2018-12-04,2018-11-21
-1,1,1,4;1;2018-11-21
-1,1,2,0;1;2018-11-21
-1,1,-1,3;1;2018-11-20
-1,1,0,2;2;2019-01-07,2018-11-20
2,0,-1,4;5;2019-01-13,2019-01-05,2018-12-15,2018-11-28,2018-11-19
0,3,1,1;8;2019-01-19,2019-01-02,2018-12-22,2018-12-15,2018-12-06,2018-12-03,2018-11-28,2018-11-19
2,0,-1,3;3;2019-01-05,2018-12-12,2018-11-19
0,1,0,3;9;2019-01-08,2019-01-04,2019-01-03,2019-01-01,2018-12-14,2018-12-02,2018-11-27,2018-11-19
0,1,1,1;4;2018-12-30,2018-12-27,2018-12-02,2018-11-19
-1,3,1,1;6;2019-01-16,2019-01-13,2018-12-29,2018-11-27,2018-11-20,2018-11-19
1,0,0,3;7;2019-01-20,2019-01-09,2019-01-05,2018-12-21,2018-12-06,2018-11-27,2018-11-19
1,0,1,1;3;2019-01-11,2018-12-29,2018-11-19
2,1,-2,1;1;2018-11-19
0,2,1,3;2;2018-11-28,2018-11-18
1,3,-1,1;4;2019-01-06,2019-01-04,2018-11-20,2018-11-18
1,3,0,2;2;2018-12-07,2018-11-18
1,3,1,2;3;2018-12-18,2018-12-12,2018-11-18
2,3,-2,1;3;2019-01-04,2018-11-25,2018-11-18
2,3,-1,2;2;2019-01-18,2018-11-18
2,3,0,2;2;2018-11-27,2018-11-18
-2,3,1,2;2;2019-01-14,2018-11-18
-1,5,1,0;3;2019-01-14,2018-12-26,2018-11-18
1,1,-1,3;5;2018-12-31,2018-12-08,2018-12-05,2018-11-30,2018-11-18
0,2,1,1;4;2018-12-27,2018-12-21,2018-11-19,2018-11-18
1,3,1,1;2;2018-12-20,2018-11-18
0,4,2,0;1;2018-11-18
0,3,1,0;8;2018-12-26,2018-12-21,2018-12-08,2018-12-06,2018-12-04,2018-12-02,2018-11-19,2018-11-17
-1,1,0,1;7;2019-01-13,2019-01-10,2018-12-13,2018-12-11,2018-11-21,2018-11-16
1,0,-1,1;8;2019-01-20,2019-01-17,2019-01-12,2018-12-31,2018-12-29,2018-12-21,2018-12-14,2018-11-16
1,0,0,5;2;2018-11-21,2018-11-16
1,0,1,5;4;2019-01-17,2018-12-31,2018-12-21,2018-11-16
2,0,-2,1;2;2018-12-05,2018-11-16
2,0,-1,5;2;2018-12-07,2018-11-16
2,0,0,5;2;2018-11-19,2018-11-16
-1,3,2,2;1;2018-11-16
1,4,0,1;3;2019-01-16,2018-11-28,2018-11-16
0,5,1,0;6;2019-01-19,2019-01-16,2019-01-11,2018-12-16,2018-11-16
2,0,-2,5;1;2018-11-16
1,1,-1,4;1;2018-11-16
2,3,-1,1;3;2019-01-19,2018-12-24,2018-11-15
0,1,2,1;1;2018-11-15
2,2,0,2;3;2018-11-26,2018-11-17,2018-11-15
0,3,0,2;3;2019-01-19,2019-01-11,2018-11-14
2,4,-2,1;3;2019-01-12,2018-11-25,2018-11-14
-1,2,0,3;5;2019-01-09,2018-12-22,2018-12-08,2018-11-18,2018-11-13
-1,5,2,0;1;2018-11-13
1,1,1,0;5;2019-01-20,2019-01-11,2018-12-29,2018-12-25,2018-11-12
2,1,-2,4;5;2019-01-19,2019-01-11,2018-12-12,2018-11-12
1,3,-1,2;4;2018-12-27,2018-12-12,2018-11-21,2018-11-12
0,1,-1,2;6;2019-01-17,2018-12-16,2018-12-09,2018-11-13,2018-11-12
0,1,2,0;6;2019-01-15,2019-01-08,2019-01-01,2018-12-25,2018-12-18,2018-11-12
0,4,1,1;3;2019-01-18,2019-01-08,2018-11-11
1,2,0,1;4;2019-01-18,2018-12-18,2018-12-12,2018-11-10
1,3,0,1;6;2018-12-27,2018-12-13,2018-12-05,2018-11-20,2018-11-17,2018-11-10
0,3,2,2;3;2018-12-31,2018-11-19,2018-11-10
1,4,1,1;2;2018-11-27,2018-11-10
0,1,-2,1;1;2018-11-09
0,1,-1,1;2;2018-11-27,2018-11-09
-2,1,0,4;1;2018-11-09
-2,1,1,4;2;2018-12-19,2018-11-09
-1,1,-1,4;1;2018-11-09
-1,1,0,4;2;2018-12-30,2018-11-09
0,4,-2,1;1;2018-11-09
0,4,-1,1;3;2019-01-03,2018-12-22,2018-11-09
1,1,-2,3;3;2018-12-30,2018-12-01,2018-11-09
1,1,0,1;7;2019-01-14,2019-01-12,2018-12-17,2018-12-05,2018-11-17,2018-11-09
1,2,-2,1;2;2018-11-19,2018-11-09
1,2,-1,3;2;2019-01-19,2018-11-09
-1,3,0,1;6;2019-01-18,2019-01-04,2018-12-23,2018-12-18,2018-11-16,2018-11-09
-1,4,1,1;3;2018-12-27,2018-11-16,2018-11-09
1,4,1,0;3;2018-12-22,2018-12-13,2018-11-09
1,0,-1,2;8;2019-01-10,2018-12-20,2018-12-11,2018-11-26,2018-11-25,2018-11-22,2018-11-08
1,0,0,4;2;2018-12-06,2018-11-08
-1,2,1,0;5;2019-01-17,2019-01-16,2019-01-10,2018-12-09,2018-11-08
-1,2,2,2;3;2019-01-10,2018-12-31,2018-11-08
2,0,-2,2;2;2018-12-18,2018-11-08
2,0,0,4;2;2018-11-09,2018-11-08
1,1,1,3;2;2018-12-08,2018-11-08
0,2,0,2;3;2018-11-18,2018-11-07
0,2,1,2;4;2019-01-13,2018-12-14,2018-11-17,2018-11-07
1,2,-1,2;8;2019-01-13,2019-01-09,2019-01-08,2019-01-01,2018-12-23,2018-12-22,2018-12-01,2018-11-07
1,2,0,2;3;2019-01-19,2018-11-23,2018-11-07
-1,4,1,0;4;2018-12-30,2018-12-05,2018-12-03,2018-11-07
-1,4,2,0;4;2018-12-27,2018-12-03,2018-11-16,2018-11-07
0,1,0,2;15;2019-01-02,2018-12-26,2018-12-25,2018-12-23,2018-12-21,2018-12-04,2018-12-03,2018-11-23,2018-11-21,2018-11-07
0,1,1,2;5;2019-01-18,2018-12-25,2018-12-23,2018-11-27,2018-11-07
1,1,-1,2;6;2018-12-30,2018-12-25,2018-12-23,2018-12-06,2018-11-10,2018-11-07
1,1,0,2;11;2019-01-20,2019-01-06,2018-12-25,2018-12-23,2018-12-08,2018-11-26,2018-11-21,2018-11-20,2018-11-18,2018-11-12,2018-11-07
-1,3,1,0;4;2019-01-15,2018-12-21,2018-12-06,2018-11-07
-1,3,2,0;4;2019-01-18,2019-01-16,2018-11-27,2018-11-07
1,1,-1,1;5;2018-11-27,2018-11-26,2018-11-10,2018-11-08,2018-11-07
1,1,0,4;6;2019-01-11,2018-12-16,2018-11-11,2018-11-10,2018-11-07
0,2,2,2;2;2018-11-09,2018-11-07
2,4,-1,1;2;2018-11-21,2018-11-07
0,2,1,0;4;2019-01-18,2018-12-25,2018-12-10,2018-11-07
0,2,2,3;5;2019-01-17,2018-12-21,2018-11-18,2018-11-10,2018-11-07
1,2,0,3;5;2019-01-19,2019-01-18,2019-01-01,2018-12-02,2018-11-07
1,5,1,0;3;2018-11-11,2018-11-10,2018-11-07
2,0,0,2;3;2018-12-23,2018-12-07,2018-11-06
2,2,-1,1;3;2018-12-21,2018-12-07,2018-11-06
-2,1,0,3;1;2018-11-06
0,3,-2,1;2;2018-11-20,2018-11-06
0,2,2,1;5;2019-01-14,2018-12-27,2018-11-27,2018-11-25,2018-11-05
1,2,1,1;3;2019-01-19,2018-12-27,2018-11-05
0,2,0,1;5;2018-12-08,2018-11-28,2018-11-26,2018-11-17,2018-11-05
2,1,0,2;4;2019-01-19,2019-01-06,2018-12-24,2018-11-05
0,3,2,0;3;2019-01-19,2018-12-24,2018-11-05
0,1,1,0;6;2019-01-20,2018-12-29,2018-12-01,2018-11-22,2018-11-17,2018-11-05
1,1,0,3;8;2019-01-20,2019-01-11,2019-01-05,2018-12-22,2018-12-01,2018-11-24,2018-11-10,2018-11-05
